Components,aylienNERagdistis,tagmeNEDlogs,DBpediaNERAgdistis3252,ambiverseNEDlogs,meaningcloudAgdistis,qanary_logs_DBpediaSpotlightNED,meaningCloudNEDnew,textrazorAgdistis,dandiNERAgdistisFINAL,dandilionNEDlogs,OntotextNEDlogs,babelfyAgdistis3000,ambiverseAgdistis,tagmeAgdistis,EntityClassifier_NER_Agdistis,newBabelfyNEDlogs,stanfordAgdistis,ontotextAgdistis,AmbiverseNED 2.0,AmbiverseStanford 2.0
recall,0.41,0.66,0.45,0.12,0.18,0.59,0.15,0.43,0.53,0.66,0.48,0.13,0.01,0.43,0.47,0.51,0.43,0.46,0.65,0.18
Precision,0.44,0.69,0.47,0.14,0.20,0.58,0.17,0.43,0.50,0.50,0.37,0.12,0.01,0.48,0.39,0.29,0.47,0.41,0.65,0.18
F-score value,0.42,0.67,0.46,0.13,0.19,0.59,0.16,0.43,0.52,0.57,0.42,0.12,0.01,0.45,0.42,0.37,0.45,0.43,0.65,0.18
